knowledgeType,Denmark,Finland,UK,US
InternationalKnowledge.hs,0.65,0.56,0.52,0.22
InternationalKnowledge.sc,0.67,0.69,0.54,0.42
InternationalKnowledge.c,0.65,0.7,0.68,0.65
