knowledgeType,Denmark,Finland,UK,US
PoliticalKnowledge.hs,0.71,0.65,0.57,0.31
PoliticalKnowledge.sc,0.73,0.72,0.595,0.515
PoliticalKnowledge.c,0.71,0.775,0.7,0.71
