knowledgeType,Denmark,Finland,UK,US
DomesticKnowledge.hs,0.77,0.74,0.62,0.4
DomesticKnowledge.sc,0.79,0.75,0.65,0.61
DomesticKnowledge.c,0.77,0.85,0.72,0.77
